seed,strategy,pre_test_accuracy,post_test_accuracy,batch_utility,mean_individual_utility,sum_individual_utility,interaction_gap,image_reuse_rate,cluster_coverage,mean_pair_cosine_similarity,source_result
42,random,0.36666666666666664,0.6,0.23333333333333334,,,,0.06499999999999995,19,0.9293455957590259,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/000_stage-final_comparison_epoch-3_seed-42_strategy-random_lambda-0p5_budget-100/result.json
123,uncertainty_diversity,0.36666666666666664,0.6666666666666666,0.3,,,,0.07499999999999996,17,0.9725475502582835,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/013_stage-final_comparison_epoch-3_seed-123_strategy-uncertainty_diversity_lambda-0p5_budget-100/result.json
79,random,0.5666666666666667,0.4666666666666667,-0.09999999999999998,,,,0.10999999999999999,20,0.9759834013526738,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/005_stage-final_comparison_epoch-3_seed-79_strategy-random_lambda-0p5_budget-100/result.json
123,cluster_diverse,0.36666666666666664,0.5666666666666667,0.2,,,,0.10999999999999999,19,0.9727718305203181,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/012_stage-final_comparison_epoch-3_seed-123_strategy-cluster_diverse_lambda-0p5_budget-100/result.json
123,core_set,0.36666666666666664,0.6333333333333333,0.26666666666666666,,,,0.06000000000000005,20,0.972491286549468,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/014_stage-final_comparison_epoch-3_seed-123_strategy-core_set_lambda-0p5_budget-100/result.json
79,uncertainty_diversity,0.5666666666666667,0.5,-0.06666666666666665,,,,0.08999999999999997,19,0.9804715400720916,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/008_stage-final_comparison_epoch-3_seed-79_strategy-uncertainty_diversity_lambda-0p5_budget-100/result.json
42,uncertainty_diversity,0.36666666666666664,0.4666666666666667,0.10000000000000003,,,,0.06499999999999995,17,0.9220007566138982,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/003_stage-final_comparison_epoch-3_seed-42_strategy-uncertainty_diversity_lambda-0p5_budget-100/result.json
42,cluster_diverse,0.36666666666666664,0.6333333333333333,0.26666666666666666,,,,0.07499999999999996,20,0.924869048673796,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/002_stage-final_comparison_epoch-3_seed-42_strategy-cluster_diverse_lambda-0p5_budget-100/result.json
79,cluster_diverse,0.5666666666666667,0.36666666666666664,-0.2,,,,0.09999999999999998,20,0.9788284127547267,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/007_stage-final_comparison_epoch-3_seed-79_strategy-cluster_diverse_lambda-0p5_budget-100/result.json
123,random,0.36666666666666664,0.4666666666666667,0.10000000000000003,,,,0.09499999999999997,20,0.9724281481729442,/content/quantum rheed codex/result/professor_validation/final_comparison/jobs/010_stage-final_comparison_epoch-3_seed-123_strategy-random_lambda-0p5_budget-100/result.json
